Ceremony,Won,Name,Birthdate,Film,Role
69,TRUE,Geoffrey Rush,"July 06, 1951",Shine,David Helfgott
69,FALSE,Billy Bob Thornton,"August 04, 1955",Sling Blade,Karl Childers
70,FALSE,Matt Damon,"October 08, 1970",Good Will Hunting,Will Hunting
70,FALSE,Robert Duvall,"January 05, 1931",The Apostle,The Apostle E.F.
70,FALSE,Peter Fonda,"February 23, 1940",Ulee's Gold,Ulee Jackson
70,FALSE,Dustin Hoffman,"August 08, 1937",Wag the Dog,Stanley Motss
70,TRUE,Jack Nicholson,"April 22, 1937",As Good as It Gets,Melvin Udall
71,TRUE,Roberto Benigni,"October 27, 1952",Life Is Beautiful,Guido
71,FALSE,Tom Hanks,"July 09, 1956",Saving Private Ryan,Captain Miller
71,FALSE,Ian McKellen,"May 25, 1939",Gods and Monsters,James Whale
71,FALSE,Nick Nolte,"February 08, 1941",Affliction,Wade Whitehouse
71,FALSE,Edward Norton,"August 18, 1969",American History X,Derek
72,FALSE,Russell Crowe,"April 07, 1964",The Insider,Jeffrey Wigand
72,FALSE,Richard Farnsworth,"September 01, 1920",The Straight Story,Alvin Straight
72,FALSE,Sean Penn,"August 17, 1960",Sweet and Lowdown,Emmet Ray
72,TRUE,Kevin Spacey,"July 26, 1959",American Beauty,Lester Burnham
72,FALSE,Denzel Washington,"December 28, 1954",The Hurricane,Rubin 'Hurricane' Carter
73,FALSE,Javier Bardem,"March 01, 1969",Before Night Falls,Reinaldo Arenas
73,TRUE,Russell Crowe,"April 07, 1964",Gladiator,Maximus Decimus Meridius
73,FALSE,Tom Hanks,"July 09, 1956",Cast Away,Chuck Noland
73,FALSE,Ed Harris,"November 28, 1950",Pollock,Jackson Pollock
73,FALSE,Geoffrey Rush,"July 06, 1951",Quills,The Marquis de Sade
74,FALSE,Russell Crowe,"April 07, 1964",A Beautiful Mind,John Nash
74,FALSE,Sean Penn,"August 17, 1960",I Am Sam,Sam Dawson
74,FALSE,Will Smith,"September 25, 1968",Ali,Muhammad Ali
74,TRUE,Denzel Washington,"December 28, 1954",Training Day,Alonzo
74,FALSE,Tom Wilkinson,"February 05, 1948",In the Bedroom,Matt Fowler
75,TRUE,Adrien Brody,"April 14, 1973",The Pianist,Wladyslaw Szpilman
75,FALSE,Nicolas Cage,"January 07, 1964",Adaptation,Charlie Kaufman & Donald Kaufman
75,FALSE,Michael Caine,"March 14, 1933",The Quiet American,Thomas Fowler
75,FALSE,Daniel Day-Lewis,"April 29, 1957",Gangs of New York,Bill 'The Butcher' Cutting
75,FALSE,Jack Nicholson,"April 22, 1937",About Schmidt,Warren Schmidt
76,FALSE,Johnny Depp,"June 09, 1963",Pirates of the Caribbean: The Curse of the Black Pearl,Jack Sparrow
76,FALSE,Ben Kingsley,"December 31, 1943",House of Sand and Fog,Behrani
76,FALSE,Jude Law,"December 29, 1972",Cold Mountain,Inman
76,FALSE,Bill Murray,"September 21, 1950",Lost in Translation,Bob Harris
76,TRUE,Sean Penn,"August 17, 1960",Mystic River,Jimmy Markum
77,FALSE,Don Cheadle,"November 29, 1964",Hotel Rwanda,Paul Rusesabagina
77,FALSE,Johnny Depp,"June 09, 1963",Finding Neverland,Sir James Matthew Barrie
77,FALSE,Leonardo DiCaprio,"November 11, 1974",The Aviator,Howard Hughes
77,FALSE,Clint Eastwood,"May 31, 1930",Million Dollar Baby,Frankie Dunn
77,TRUE,Jamie Foxx,"December 13, 1967",Ray,Ray Charles
78,TRUE,Philip Seymour Hoffman,"July 23, 1967",Capote,Truman Capote
78,FALSE,Terrence Howard,"March 11, 1969",Hustle & Flow,DJay
78,FALSE,Heath Ledger,"April 04, 1979",Brokeback Mountain,Ennis Del Mar
78,FALSE,Joaquin Phoenix,"October 28, 1974",Walk the Line,John R. Cash
78,FALSE,David Strathairn,"January 26, 1949","Good Night, and Good Luck.",Edward R. Murrow
79,FALSE,Leonardo DiCaprio,"November 11, 1974",Blood Diamond,Danny Archer
79,FALSE,Ryan Gosling,"November 12, 1980",Half Nelson,Dan Dunne
79,FALSE,Peter O'Toole,"August 02, 1932",Venus,Maurice
79,FALSE,Will Smith,"September 25, 1968",The Pursuit of Happyness,Chris Gardner
79,TRUE,Forest Whitaker,"July 15, 1961",The Last King of Scotland,Idi Amin
80,FALSE,George Clooney,"May 06, 1961",Michael Clayton,Michael Clayton
80,TRUE,Daniel Day-Lewis,"April 29, 1957",There Will Be Blood,Daniel Plainview
80,FALSE,Johnny Depp,"June 09, 1963",Sweeney Todd The Demon Barber of Fleet Street,Sweeney Todd
80,FALSE,Tommy Lee Jones,"September 15, 1946",In the Valley of Elah,Hank Deerfield
80,FALSE,Viggo Mortensen,"October 20, 1958",Eastern Promises,Nikolai
81,FALSE,Richard Jenkins,"May 04, 1947",The Visitor,Walter
81,FALSE,Frank Langella,"January 01, 1938",Frost/Nixon,Richard Nixon
81,TRUE,Sean Penn,"August 17, 1960",Milk,Harvey Milk
81,FALSE,Brad Pitt,"December 18, 1963",The Curious Case of Benjamin Button,Benjamin Button
81,FALSE,Mickey Rourke,"September 16, 1952",The Wrestler,Randy
82,TRUE,Jeff Bridges,"December 04, 1949",Crazy Heart,Bad Blake
82,FALSE,George Clooney,"May 06, 1961",Up in the Air,Ryan Bingham
82,FALSE,Colin Firth,"September 10, 1960",A Single Man,George
82,FALSE,Morgan Freeman,"June 01, 1937",Invictus,Nelson Mandela
82,FALSE,Jeremy Renner,"January 07, 1971",The Hurt Locker,Staff Sergeant William James
83,FALSE,Javier Bardem,"March 01, 1969",Biutiful,Uxbal
83,FALSE,Jeff Bridges,"December 04, 1949",True Grit,Rooster Cogburn
83,FALSE,Jesse Eisenberg,"October 05, 1983",The Social Network,Mark Zuckerberg
83,TRUE,Colin Firth,"September 10, 1960",The King's Speech,King George VI
83,FALSE,James Franco,"April 19, 1978",127 Hours,Aron Ralston
84,FALSE,Demián Bichir,"August 01, 1963",A Better Life,Carlos Galindo
84,FALSE,George Clooney,"May 06, 1961",The Descendants,Matt King
84,TRUE,Jean Dujardin,"June 19, 1972",The Artist,George Valentin
84,FALSE,Gary Oldman,"March 21, 1958",Tinker Tailor Soldier Spy,George Smiley
84,FALSE,Brad Pitt,"December 18, 1963",Moneyball,Billy Beane
85,FALSE,Bradley Cooper,"January 05, 1975",Silver Linings Playbook,Pat
85,TRUE,Daniel Day-Lewis,"April 29, 1957",Lincoln,Abraham Lincoln
85,FALSE,Hugh Jackman,"October 12, 1968",Les Misérables,Jean Valjean
85,FALSE,Joaquin Phoenix,"October 28, 1974",The Master,Freddie Quell
85,FALSE,Denzel Washington,"December 28, 1954",Flight,Whip Whitaker
86,FALSE,Christian Bale,"January 30, 1974",American Hustle,Irving Rosenfeld
86,FALSE,Bruce Dern,"June 04, 1936",Nebraska,Woody Grant
86,FALSE,Leonardo DiCaprio,"November 11, 1974",The Wolf of Wall Street,Jordan Belfort
86,FALSE,Chiwetel Ejiofor,"July 07, 1977",12 Years a Slave,Solomon Northup
86,TRUE,Matthew McConaughey,"November 04, 1969",Dallas Buyers Club,Ron Woodroof
87,FALSE,Steve Carell,"August 16, 1962",Foxcatcher,John du Pont
87,FALSE,Bradley Cooper,"January 05, 1975",American Sniper,Chris Kyle
87,FALSE,Benedict Cumberbatch,"July 19, 1976",The Imitation Game,Alan Turing
87,FALSE,Michael Keaton,"September 05, 1951",Birdman or (The Unexpected Virtue of Ignorance),Riggan
87,TRUE,Eddie Redmayne,"January 06, 1982",The Theory of Everything,Stephen Hawking
88,FALSE,Bryan Cranston,"March 07, 1956",Trumbo,Dalton Trumbo
88,FALSE,Matt Damon,"October 08, 1970",The Martian,Mark Watney
88,TRUE,Leonardo DiCaprio,"November 11, 1974",The Revenant,Hugh Glass
88,FALSE,Michael Fassbender,"April 02, 1977",Steve Jobs,Steve Jobs
88,FALSE,Eddie Redmayne,"January 06, 1982",The Danish Girl,Lili
89,TRUE,Casey Affleck,"August 12, 1975",Manchester by the Sea,Lee Chandler
89,FALSE,Andrew Garfield,"August 20, 1983",Hacksaw Ridge,Desmond Doss
89,FALSE,Ryan Gosling,"November 12, 1980",La La Land,Sebastian
89,FALSE,Viggo Mortensen,"October 20, 1958",Captain Fantastic,Ben
89,FALSE,Denzel Washington,"December 28, 1954",Fences,Troy Maxson
90,FALSE,Timothée Chalamet,"December 27, 1995",Call Me by Your Name,Elio
90,FALSE,Daniel Day-Lewis,"April 29, 1957",Phantom Thread,Reynolds Woodcock
90,FALSE,Daniel Kaluuya,"February 24, 1989",Get Out,Chris Washington
90,TRUE,Gary Oldman,"March 21, 1958",Darkest Hour,Winston Churchill
90,FALSE,Denzel Washington,"December 28, 1954","Roman J. Israel, Esq.","Roman J. Israel, Esq."
91,FALSE,Christian Bale,"January 30, 1974",Vice,Dick Cheney
91,FALSE,Bradley Cooper,"January 05, 1975",A Star Is Born,Jack
91,FALSE,Willem Dafoe,"July 22, 1955",At Eternity's Gate,Vincent Van Gogh
91,TRUE,Rami Malek,"May 12, 1981",Bohemian Rhapsody,Freddie Mercury
91,FALSE,Viggo Mortensen,"October 20, 1958",Green Book,Tony Lip
92,FALSE,Antonio Banderas,"August 10, 1960",Pain and Glory,Salvador Mallo
92,FALSE,Leonardo DiCaprio,"November 11, 1974",Once Upon a Time in Hollywood,Rick Dalton
92,FALSE,Adam Driver,"November 19, 1983",Marriage Story,Charlie Barber
92,TRUE,Joaquin Phoenix,"October 28, 1974",Joker,Arthur Fleck/Joker
92,FALSE,Jonathan Pryce,"June 01, 1947",The Two Popes,Cardinal Jorge Mario Bergoglio
