Ceremony,Won,Name,Birthdate,Film
87,FALSE,Bennett Miller,"December 30, 1966",Foxcatcher
87,FALSE,Wes Anderson,"May 01, 1969",The Grand Budapest Hotel
87,FALSE,Morten Tyldum,"May 19, 1967",The Imitation Game
88,FALSE,Adam McKay,"April 17, 1968",The Big Short
88,FALSE,George Miller,"March 03, 1945",Mad Max: Fury Road
88,TRUE,Alejandro G. Iñárritu,"August 15, 1963",The Revenant
88,FALSE,Lenny Abrahamson,"November 30, 1966",Room
88,FALSE,Tom McCarthy,"June 07, 1966",Spotlight
89,FALSE,Denis Villeneuve,"October 03, 1967",Arrival
89,FALSE,Mel Gibson,"January 03, 1956",Hacksaw Ridge
89,TRUE,Damien Chazelle,"January 19, 1985",La La Land
89,FALSE,Kenneth Lonergan,"October 16, 1962",Manchester by the Sea
89,FALSE,Barry Jenkins,"November 19, 1979",Moonlight
90,FALSE,Christopher Nolan,"July 30, 1970",Dunkirk
90,FALSE,Jordan Peele,"February 21, 1979",Get Out
90,FALSE,Greta Gerwig,"August 04, 1983",Lady Bird
90,FALSE,Paul Thomas Anderson,"June 26, 1970",Phantom Thread
90,TRUE,Guillermo del Toro,"October 09, 1964",The Shape of Water
91,FALSE,Spike Lee,"March 20, 1957",BlacKkKlansman
91,FALSE,Pawel Pawlikowski,"September 15, 1957",Cold War
91,FALSE,Yorgos Lanthimos,"September 23, 1973",The Favourite
91,TRUE,Alfonso Cuarón,"November 28, 1961",Roma
91,FALSE,Adam McKay,"April 17, 1968",Vice
92,FALSE,Martin Scorsese,"November 17, 1942",The Irishman
92,FALSE,Todd Phillips,"December 20, 1970",Joker
92,FALSE,Sam Mendes,"August 01, 1965",1917
92,FALSE,Quentin Tarantino,"March 27, 1963",Once Upon a Time in Hollywood
92,TRUE,Bong Joon-ho,"September 14, 1969",Parasite
