Ceremony,Won,Name,Birthdate,Film,Role
69,FALSE,Diane Keaton,"January 05, 1946",Marvin's Room,Bessie
69,TRUE,Frances McDormand,"June 23, 1957",Fargo,Marge Gunderson
69,FALSE,Kristin Scott Thomas,"May 24, 1960",The English Patient,Katharine Clifton
69,FALSE,Emily Watson,"January 14, 1967",Breaking the Waves,Bess
70,FALSE,Helena Bonham Carter,"May 26, 1966",The Wings of the Dove,Kate Croy
70,FALSE,Julie Christie,"April 14, 1940",Afterglow,Phyllis Mann
70,FALSE,Judi Dench,"December 09, 1934",Mrs. Brown,Queen Victoria
70,TRUE,Helen Hunt,"June 15, 1963",As Good as It Gets,Carol Connelly
70,FALSE,Kate Winslet,"October 05, 1975",Titanic,Rose DeWitt Bukater
71,FALSE,Cate Blanchett,"May 14, 1969",Elizabeth,Queen Elizabeth I
71,FALSE,Fernanda Montenegro,"October 16, 1929",Central Station,Dora
71,TRUE,Gwyneth Paltrow,"September 27, 1972",Shakespeare in Love,Viola De Lesseps
71,FALSE,Meryl Streep,"June 22, 1949",One True Thing,Kate Gulden
71,FALSE,Emily Watson,"January 14, 1967",Hilary and Jackie,Jacqueline du Pré
72,FALSE,Annette Bening,"May 29, 1958",American Beauty,Carolyn Burnham
72,FALSE,Janet McTeer,"August 05, 1961",Tumbleweeds,Mary Jo Walker
72,FALSE,Julianne Moore,"December 03, 1960",The End of the Affair,Sarah Miles
72,FALSE,Meryl Streep,"June 22, 1949",Music of the Heart,Roberta Guaspari
72,TRUE,Hilary Swank,"July 30, 1974",Boys Don't Cry,Brandon Teena/Teena Brandon
73,FALSE,Joan Allen,"August 20, 1956",The Contender,Laine Hanson
73,FALSE,Juliette Binoche,"March 09, 1964",Chocolat,Vianne Rocher
73,FALSE,Ellen Burstyn,"December 07, 1932",Requiem for a Dream,Sara Goldfarb
73,FALSE,Laura Linney,"February 05, 1964",You Can Count on Me,Samantha 'Sammy' Prescott
73,TRUE,Julia Roberts,"October 28, 1967",Erin Brockovich,Erin Brockovich
74,TRUE,Halle Berry,"August 14, 1966",Monster's Ball,Leticia Musgrove
74,FALSE,Judi Dench,"December 09, 1934",Iris,Iris Murdoch
74,FALSE,Nicole Kidman,"June 20, 1967",Moulin Rouge,Satine
74,FALSE,Sissy Spacek,"December 25, 1949",In the Bedroom,Ruth Fowler
74,FALSE,Renée Zellweger,"April 25, 1969",Bridget Jones's Diary,Bridget Jones
75,FALSE,Salma Hayek,"September 02, 1966",Frida,Frida Kahlo
75,TRUE,Nicole Kidman,"June 20, 1967",The Hours,Virginia Woolf
75,FALSE,Diane Lane,"January 22, 1965",Unfaithful,Connie Sumner
75,FALSE,Julianne Moore,"December 03, 1960",Far from Heaven,Cathy Whitaker
75,FALSE,Renée Zellweger,"April 25, 1969",Chicago,Roxie Hart
76,FALSE,Keisha Castle-Hughes,"March 24, 1990",Whale Rider,Paikea
76,FALSE,Diane Keaton,"January 05, 1946",Something's Gotta Give,Erica Barry
76,FALSE,Samantha Morton,"May 18, 1977",In America,Sarah
76,TRUE,Charlize Theron,"August 07, 1975",Monster,Aileen Wuornos
76,FALSE,Naomi Watts,"September 28, 1968",21 Grams,Cristina Peck
77,FALSE,Annette Bening,"May 29, 1958",Being Julia,Julia Lambert
77,FALSE,Catalina Sandino Moreno,"April 19, 1981",Maria Full of Grace,Maria
77,FALSE,Imelda Staunton,"January 09, 1956",Vera Drake,Vera
77,TRUE,Hilary Swank,"July 30, 1974",Million Dollar Baby,Maggie Fitzgerald
77,FALSE,Kate Winslet,"October 05, 1975",Eternal Sunshine of the Spotless Mind,Clementine Kruczynski
78,FALSE,Judi Dench,"December 09, 1934",Mrs. Henderson Presents,Mrs. Laura Henderson
78,FALSE,Felicity Huffman,"December 09, 1962",Transamerica,Bree
78,FALSE,Keira Knightley,"March 26, 1985",Pride & Prejudice,Elizabeth Bennet
78,FALSE,Charlize Theron,"August 07, 1975",North Country,Josey Aimes
78,TRUE,Reese Witherspoon,"March 22, 1976",Walk the Line,June Carter
79,FALSE,Penélope Cruz,"April 28, 1974",Volver,Raimunda
79,FALSE,Judi Dench,"December 09, 1934",Notes on a Scandal,Barbara Covett
79,TRUE,Helen Mirren,"July 26, 1945",The Queen,The Queen
79,FALSE,Meryl Streep,"June 22, 1949",The Devil Wears Prada,Miranda Priestly
79,FALSE,Kate Winslet,"October 05, 1975",Little Children,Sarah Pierce
80,FALSE,Cate Blanchett,"May 14, 1969",Elizabeth: The Golden Age,Queen Elizabeth I
80,FALSE,Julie Christie,"April 14, 1940",Away from Her,Fiona
80,TRUE,Marion Cotillard,"September 30, 1975",La Vie en Rose,Edith Piaf
80,FALSE,Laura Linney,"February 05, 1964",The Savages,Wendy Savage
80,FALSE,Ellen Page,"February 21, 1987",Juno,Juno MacGuff
81,FALSE,Anne Hathaway,"November 12, 1982",Rachel Getting Married,Kym
81,FALSE,Angelina Jolie,"June 04, 1975",Changeling,Christine Collins
81,FALSE,Melissa Leo,"September 14, 1960",Frozen River,Ray Eddy
81,FALSE,Meryl Streep,"June 22, 1949",Doubt,Sister Aloysius Beauvier
81,TRUE,Kate Winslet,"October 05, 1975",The Reader,Hanna Schmitz
82,TRUE,Sandra Bullock,"July 26, 1964",The Blind Side,Leigh Anne Tuohy
82,FALSE,Helen Mirren,"July 26, 1945",The Last Station,Sofya
82,FALSE,Carey Mulligan,"May 28, 1985",An Education,Jenny
82,FALSE,Gabourey Sidibe,"May 06, 1983",Precious: Based on the Novel 'Push' by Sapphire,Precious
82,FALSE,Meryl Streep,"June 22, 1949",Julie & Julia,Julia Child
83,FALSE,Annette Bening,"May 29, 1958",The Kids Are All Right,Nic
83,FALSE,Nicole Kidman,"June 20, 1967",Rabbit Hole,Becca
83,FALSE,Jennifer Lawrence,"August 15, 1990",Winter's Bone,Ree
83,TRUE,Natalie Portman,"June 09, 1981",Black Swan,Nina Sayers/The Swan Queen
83,FALSE,Michelle Williams,"September 09, 1980",Blue Valentine,Cindy
84,FALSE,Glenn Close,"March 19, 1947",Albert Nobbs,Albert Nobbs
84,FALSE,Viola Davis,"August 11, 1965",The Help,Aibileen Clark
84,FALSE,Rooney Mara,"April 17, 1985",The Girl with the Dragon Tattoo,Lisbeth Salander
84,TRUE,Meryl Streep,"June 22, 1949",The Iron Lady,Margaret Thatcher
84,FALSE,Michelle Williams,"September 09, 1980",My Week with Marilyn,Marilyn Monroe
85,FALSE,Jessica Chastain,"March 24, 1977",Zero Dark Thirty,Maya
85,TRUE,Jennifer Lawrence,"August 15, 1990",Silver Linings Playbook,Tiffany
85,FALSE,Emmanuelle Riva,"February 24, 1927",Amour,Anne
85,FALSE,Quvenzhané Wallis,"August 28, 2003",Beasts of the Southern Wild,Hushpuppy
85,FALSE,Naomi Watts,"September 28, 1968",The Impossible,Maria
86,FALSE,Amy Adams,"August 20, 1974",American Hustle,Sydney Prosser
86,TRUE,Cate Blanchett,"May 14, 1969",Blue Jasmine,Jasmine
86,FALSE,Sandra Bullock,"July 26, 1964",Gravity,Ryan Stone
86,FALSE,Judi Dench,"December 09, 1934",Philomena,Philomena
86,FALSE,Meryl Streep,"June 22, 1949",August: Osage County,Violet Weston
87,FALSE,Marion Cotillard,"September 30, 1975","Two Days, One Night",Sandra
87,FALSE,Felicity Jones,"October 17, 1983",The Theory of Everything,Jane Hawking
87,TRUE,Julianne Moore,"December 03, 1960",Still Alice,Alice Howland
87,FALSE,Rosamund Pike,"January 27, 1979",Gone Girl,Amy Dunne
87,FALSE,Reese Witherspoon,"March 22, 1976",Wild,Cheryl
88,FALSE,Cate Blanchett,"May 14, 1969",Carol,Carol Aird
88,TRUE,Brie Larson,"October 01, 1989",Room,Ma
88,FALSE,Jennifer Lawrence,"August 15, 1990",Joy,Joy
88,FALSE,Charlotte Rampling,"February 05, 1946",45 Years,Kate Mercer
88,FALSE,Saoirse Ronan,"April 12, 1994",Brooklyn,Eilis
89,FALSE,Isabelle Huppert,"March 16, 1953",Elle,Michèle
89,FALSE,Ruth Negga,"January 07, 1982",Loving,Mildred
89,FALSE,Natalie Portman,"June 09, 1981",Jackie,Jackie Kennedy
89,TRUE,Emma Stone,"November 06, 1988",La La Land,Mia
89,FALSE,Meryl Streep,"June 22, 1949",Florence Foster Jenkins,Florence Foster Jenkins
90,FALSE,Sally Hawkins,"April 27, 1976",The Shape of Water,Elisa Esposito
90,TRUE,Frances McDormand,"June 23, 1957","Three Billboards outside Ebbing, Missouri",Mildred
90,FALSE,Margot Robbie,"July 02, 1990","I, Tonya",Tonya Harding
90,FALSE,Saoirse Ronan,"April 12, 1994",Lady Bird,Lady Bird McPherson
90,FALSE,Meryl Streep,"June 22, 1949",The Post,Kay Graham
91,FALSE,Yalitza Aparicio,"December 11, 1993",Roma,Cleo
91,FALSE,Glenn Close,"March 19, 1947",The Wife,Joan Castleman
91,TRUE,Olivia Colman,"January 30, 1974",The Favourite,Queen Anne
91,FALSE,Lady Gaga,"March 28, 1986",A Star Is Born,Ally
91,FALSE,Melissa McCarthy,"August 26, 1970",Can You Ever Forgive Me?,Lee Israel
92,FALSE,Cynthia Erivo,"January 08, 1987",Harriet,Harriet Tubman
92,FALSE,Scarlett Johansson,"November 22, 1984",Marriage Story,Nicole Barber
92,FALSE,Saoirse Ronan,"April 12, 1994",Little Women,Josephine 'Jo' March
92,FALSE,Charlize Theron,"August 07, 1975",Bombshell,Megyn Kelly
92,TRUE,Renée Zellweger,"April 25, 1969",Judy,Judy Garland
